Station,District,Latitude,Longitude,timestamp,river_level
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-26 17:00:00,0.296
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-26 18:00:00,0.291
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-26 19:00:00,0.293
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-26 20:00:00,0.291
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-26 21:00:00,0.294
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-26 22:00:00,0.292
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-26 23:00:00,0.29
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 00:00:00,0.297
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 01:00:00,0.297
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 02:00:00,0.304
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 03:00:00,0.304
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 04:00:00,0.305
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 05:00:00,0.299
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 06:00:00,0.307
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 07:00:00,0.304
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 08:00:00,0.308
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 09:00:00,0.337
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 10:00:00,0.351
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 11:00:00,0.385
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 12:00:00,0.343
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 13:00:00,0.334
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 14:00:00,0.366
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 15:00:00,0.323
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 16:00:00,0.321
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 17:00:00,0.319
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 18:00:00,0.315
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 19:00:00,0.313
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 20:00:00,0.317
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 21:00:00,0.311
NH15 Crossing Dhansirighat,Udalguri,26.69583333,92.25777778,2022-02-27 22:00:00,0.304
